"taxi","date.date.","passenger_count","trip_distance","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount","rides","file_name"
"FHV","2015-09-12",0,0,0,0,0,0,0,0,268095,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-13",0,0,0,0,0,0,0,0,226351,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-14",0,0,0,0,0,0,0,0,191246,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-15",0,0,0,0,0,0,0,0,206879,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-16",0,0,0,0,0,0,0,0,235052,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-17",0,0,0,0,0,0,0,0,245776,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-18",0,0,0,0,0,0,0,0,259636,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-19",0,0,0,0,0,0,0,0,261851,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-20",0,0,0,0,0,0,0,0,225865,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-21",0,0,0,0,0,0,0,0,202022,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-22",0,0,0,0,0,0,0,0,197743,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-23",0,0,0,0,0,0,0,0,187929,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-24",0,0,0,0,0,0,0,0,204134,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-25",0,0,0,0,0,0,0,0,227387,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-26",0,0,0,0,0,0,0,0,257527,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-27",0,0,0,0,0,0,0,0,221422,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-28",0,0,0,0,0,0,0,0,192274,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-29",0,0,0,0,0,0,0,0,210835,"fhv_tripdata_2015-09.csv"
"FHV","2015-09-30",0,0,0,0,0,0,0,0,223298,"fhv_tripdata_2015-09.csv"
